gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
AL513122.2	6.108278653	2.650232301	5.118274636	0.000104819	0.023377205	1.482135556
RP11-2C24.9	5.969916718	1.432787585	5.331582541	6.87E-05	0.018417786	1.800841127
H3F3AP4	5.896587468	-0.029426248	7.569654294	1.16E-06	0.00293123	4.68655023
AL358113.1	5.633591417	1.74366751	4.286783154	0.000572145	0.051335078	-0.073474336
MAGEA6	5.57940819	1.832052457	6.775664862	4.58E-06	0.004925462	4.20072432
CTAG1A	5.370957399	1.037706889	4.163840085	0.000739191	0.057417898	-0.311476644
INO80B-WBP1	5.039754209	1.612501749	5.506904628	4.87E-05	0.015330276	2.119639454
CTAG2	4.726794394	1.137976039	3.950828921	0.001154667	0.073295223	-0.703796006
KRT20	4.353470999	3.971785927	7.003738628	3.06E-06	0.00449566	4.743884364
AP003419.11	4.341117052	-0.772018979	5.241943923	8.20E-05	0.020807181	1.342994491
MAGEA3	4.165603225	3.304076899	6.738126408	4.89E-06	0.004925462	4.297645864
TGIF2-C20ORF24	3.989659429	-0.440675582	4.917009532	0.000157036	0.02799522	0.863174025
PAFAH1B3	3.927405899	3.175773909	5.790169038	2.82E-05	0.01139976	2.699144298
CST6	3.906891112	1.992018059	4.769180893	0.000211931	0.03229025	0.827961329
DHCR24	3.859911378	6.319006921	4.459437914	0.00040004	0.044189971	0.232812319
F8A2	3.823991445	0.708164501	3.598348237	0.002424631	0.104545641	-1.35615517
CCNE1	3.766488919	2.795524917	7.402085151	1.54E-06	0.002958166	5.282943863
HIST2H2AA3	3.726222603	3.268669424	1.721633376	0.104507433	0.559771639	-4.830060306
AC009299.5	3.683677231	0.410484386	2.886183057	0.010787406	0.209782899	-2.640362818
PYCR1	3.662371919	4.73920004	7.672024483	9.82E-07	0.002662312	5.775286058
PLGLB2	3.573398457	-1.143409261	4.443385751	0.00041353	0.044573245	0.04967025
VGLL1	3.553980785	3.394866604	6.309137675	1.06E-05	0.0069448	3.596341025
CGB3	3.539847513	-1.143103734	4.315335075	0.000539184	0.049737575	-0.163459596
PODXL2	3.485555309	4.343059	5.427027016	5.69E-05	0.01657396	2.05740951
FOXO3B	3.483083503	0.482018084	3.625577394	0.002289398	0.10122183	-1.306873557
ZNF593	3.463415072	1.957467937	6.414962566	8.77E-06	0.006761125	3.660130016
ACTL8	3.462209406	1.439818562	2.490288181	0.02420524	0.305619757	-3.412113148
GRIN2D	3.454471704	4.136425372	6.261907066	1.16E-05	0.007306295	3.530391292
SFT2D3	3.444288671	1.187107218	2.57140441	0.020555394	0.285254482	-3.247743484
HIST3H2BA	3.399366437	0.041022264	3.181887672	0.005823948	0.157896547	-2.105294888
PRSS8	3.387898796	4.551042962	4.875911316	0.000170644	0.02924285	1.028635856
ABC12-47964100C23.1	3.387720096	-1.239911466	4.10794233	0.000830769	0.061630838	-0.511205241
ARL2-SNX15	3.382949394	0.16680246	3.318330545	0.004373114	0.140492012	-1.862716761
MAGEA4	3.381379415	2.620890045	3.209248212	0.005499207	0.154407206	-2.172552201
CH17-248H7.3	3.371485014	-0.019705746	2.778831118	0.013462324	0.234140855	-2.81116796
IGFBP3	3.339207757	7.945490782	6.243400702	1.20E-05	0.007318337	3.466712703
HIST2H2BD	3.334520992	-0.758324222	3.889043375	0.001314682	0.07843501	-0.879388008
IGKV2D-28	3.332314114	-0.195447043	2.545613634	0.021654846	0.291806295	-3.201123634
AP000304.12	3.308697093	-0.136341666	3.408226735	0.003619354	0.129258873	-1.703868059
HIST2H3A	3.30013194	7.361007592	5.218398341	8.59E-05	0.021161442	1.671233326
HIST2H3C	3.30013194	7.361007592	5.218398341	8.59E-05	0.021161442	1.671233326
CALML5	3.288737523	1.410755354	2.100117799	0.0520144	0.433203364	-4.066885982
HIST1H2AJ	3.27943125	2.636753136	5.369044509	6.38E-05	0.017694058	1.937166837
TEX28	3.278780804	-0.293782998	3.973583298	0.001100821	0.071695281	-0.713760394
CGB8	3.237398821	-0.003746976	3.050619189	0.007664102	0.180526478	-2.336961447
OR1D2	3.233949778	-1.300339813	4.04891467	0.000940007	0.065462403	-0.610207312
FASN	3.216906032	7.987030887	6.364483001	9.61E-06	0.006761125	3.667135946
IGHV3OR16-10	3.206334026	-0.81474499	3.462630405	0.003227488	0.121808354	-1.618598467
CITED4	3.203572454	4.216295614	5.927908797	2.17E-05	0.010700164	2.95433426
HIST1H3G	3.203016481	7.534791101	4.979821588	0.000138354	0.026953309	1.228741105
OVOL3	3.185506011	-1.300339813	3.760729965	0.001722105	0.088718596	-1.104205655
HIST1H2AI	3.175705955	5.099251722	4.145093716	0.000768703	0.058758228	-0.387698177
CTAG1B	3.173576146	1.665700839	2.218930957	0.041379316	0.390290244	-3.898646306
SPINT1	3.162181606	6.619693043	5.545132646	4.52E-05	0.015158643	2.268864811
UPK3B	3.157404991	5.915106087	5.667870228	3.56E-05	0.013219572	2.492142151
RP11-977G19.10	3.15597093	-0.654334874	2.687934841	0.016219444	0.253968689	-2.950375014
ABC13-48559800H2.1	3.123712934	-1.346835805	3.581333208	0.002513165	0.106531055	-1.413569827
HIST1H3I	3.121209844	3.580710392	5.031703816	0.000124654	0.025457847	1.325202541
RP11-757F18.3	3.116702452	0.510585994	4.007637449	0.001024937	0.068402869	-0.6130817
HIST1H2AB	3.075009524	1.929087627	3.924372674	0.001220628	0.075726204	-0.763014187
SLC25A39P1	3.070249197	-0.516696181	3.372541256	0.00390174	0.13374467	-1.771487807
AADAC	3.067799521	-0.302371381	2.874217251	0.01105786	0.212705029	-2.639208245
FAM71F2	3.059244915	-0.513402305	3.137192487	0.006395557	0.167185934	-2.181920884
MYBPC1	3.045436609	3.091462895	2.612352028	0.018918559	0.273937324	-3.326717316
MMP11	3.039660743	4.503173878	3.154229804	0.006171426	0.163510321	-2.339324953
EFNA2	3.034526047	-0.603192745	3.472459037	0.003161341	0.120171873	-1.598283448
RNF103-CHMP3	3.016158307	1.568940357	2.99538777	0.008599126	0.189385004	-2.508905701
SEPHS2	3.003032043	4.465528633	6.152239489	1.42E-05	0.007999729	3.34500954
HIST1H3C	2.997887694	5.638940145	4.761808458	0.000215136	0.03238457	0.812059119
TOMM6	2.976671017	0.24137659	2.838455535	0.01190602	0.219197658	-2.717320149
PRR5-ARHGAP8	2.974832209	0.135128146	4.024903741	0.000988504	0.067375078	-0.599880267
KIF2C	2.958573374	3.612807691	6.41735354	8.73E-06	0.006761125	3.783502166
FCRLB	2.94940014	2.259332967	2.983696874	0.008810909	0.192843985	-2.579507762
CYP2D7	2.948862501	0.667402966	2.974298099	0.008984859	0.194566009	-2.494560485
CTC-260F20.3	2.946836512	0.601372632	2.869382045	0.011169007	0.213550449	-2.679295227
PFN1P6	2.939437032	-0.127820429	3.051018519	0.007657718	0.180496768	-2.33437916
SPIC	2.934568688	-1.449187279	3.690715869	0.001995752	0.095828465	-1.222353119
KPNA2	2.927395929	3.80303288	6.101260078	1.57E-05	0.008617372	3.251719953
CRB3	2.921745586	4.063485463	5.996152588	1.91E-05	0.009757521	3.072573291
POU5F1P5	2.920591306	-0.227794885	2.904537599	0.010385015	0.206635117	-2.58821008
SPTBN2	2.913407069	6.118704065	6.394762922	9.09E-06	0.006761125	3.75023631
AL589743.1	2.90934	5.462132644	5.815117279	2.69E-05	0.011139648	2.755787934
F8A3	2.907080084	3.357179583	4.772449835	0.000210525	0.03229025	0.836975285
MAGEA2	2.904526409	1.173206272	3.307838656	0.004470664	0.141542894	-1.90500983
TST	2.8946947	4.233154081	4.384828189	0.000466799	0.047406422	0.08324363
CDC20	2.881635511	2.902906762	5.535655701	4.60E-05	0.015158643	2.242259654
RP11-585F1.8	2.872787384	-1.469663404	3.648771773	0.002180176	0.100309254	-1.294613251
HSPA8P18	2.869636017	-0.987928293	3.473478292	0.003154559	0.120043571	-1.601668332
ST14	2.863776895	6.123733916	5.307451069	7.20E-05	0.018933214	1.837321796
HIST3H2A	2.863026447	2.914203844	4.902388364	0.000161744	0.028640959	1.083922749
RP11-178C3.8	2.852962816	-0.06403106	2.712116481	0.015436975	0.247821474	-2.924275995
TMEM132A	2.850791845	5.536567775	5.654219258	3.66E-05	0.013292388	2.468764813
ADAM1B	2.844974504	-0.776164757	3.057145304	0.007560429	0.179076421	-2.320469736
IQCF2	2.840113311	-0.628715256	2.733710983	0.01476906	0.242965512	-2.873687335
SLC9A2	2.822660441	2.835056559	4.277656022	0.000583108	0.051703472	-0.104971742
LSR	2.816502826	6.06042629	5.15970129	9.65E-05	0.022226796	1.563882798
