term_name	zscore	combined_score	FDR	pvalue	overlapping_genes	gene_set_library	geneset
striated muscle contraction (GO:0006941)	-2.923883491	62.07911096	2.37E-06	6.01E-10	"['DTNA', 'TPM2', 'TPM1', 'LMOD1', 'SORBS1', 'ACTG2', 'KLHL41', 'SLC8A1', 'TRDN', 'ACTA2', 'DES', 'MYL1', 'CASQ2', 'MYH11', 'UTRN', 'MYL9', 'CRYAB']"	Gene Ontology Biological Process	downregulated
muscle filament sliding (GO:0030049)	-3.057274142	62.10943127	2.37E-06	1.50E-09	"['TMOD1', 'TPM2', 'TPM1', 'LMOD1', 'SORBS1', 'ACTG2', 'SLC8A1', 'TRDN', 'ACTA2', 'DES', 'ACTC1', 'MYL1', 'MYH11', 'DMD', 'UTRN', 'MYL9', 'CRYAB']"	Gene Ontology Biological Process	downregulated
smooth muscle contraction (GO:0006939)	-2.933407662	59.32899531	2.37E-06	1.65E-09	"['TPM2', 'TPM1', 'LMOD1', 'SORBS1', 'SLC8A1', 'ACTG2', 'TRDN', 'ACTA2', 'SMTN', 'EDNRA', 'DES', 'MYL1', 'MYH11', 'UTRN', 'MYL9', 'CRYAB']"	Gene Ontology Biological Process	downregulated
muscle contraction (GO:0006936)	-2.748073045	48.30028926	2.51E-05	2.33E-08	"['TPM2', 'TPM1', 'LMOD1', 'SORBS1', 'SLC8A1', 'ACTG2', 'TRDN', 'ACTA2', 'DES', 'MYL1', 'MYH11', 'UTRN', 'MYL9', 'CRYAB']"	Gene Ontology Biological Process	downregulated
regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881)	-2.627094409	30.42478979	0.007845577	9.34E-06	"['PDE4D', 'CASQ2', 'ATP1A2', 'DMD', 'SLC8A1', 'TRDN']"	Gene Ontology Biological Process	downregulated
cardiac muscle contraction (GO:0060048)	-2.670611321	30.49402881	0.007845577	1.10E-05	"['DTNA', 'ACTC1', 'TPM1', 'CASQ2', 'ATP1A2', 'DMD', 'KLHL41', 'SLC8A1', 'TRDN']"	Gene Ontology Biological Process	downregulated
cellular response to heparin (GO:0071504)	-2.055604798	23.17073525	0.007845577	1.27E-05	"['EGR1', 'SFRP1', 'NR1H4', 'SLIT2']"	Gene Ontology Biological Process	downregulated
muscle organ development (GO:0007517)	-2.74458701	26.2025016	0.026985751	7.14E-05	"['TAGLN', 'SMTN', 'FHL1', 'ITGA7', 'SPEG', 'DMD', 'UTRN', 'BVES']"	Gene Ontology Biological Process	downregulated
muscle organ morphogenesis (GO:0048644)	-2.743268819	26.18991688	0.026985751	7.14E-05	"['TAGLN', 'SMTN', 'FHL1', 'ITGA7', 'SPEG', 'DMD', 'UTRN', 'BVES']"	Gene Ontology Biological Process	downregulated
pharyngeal muscle development (GO:0043282)	-2.739162864	26.15071743	0.026985751	7.14E-05	"['TAGLN', 'SMTN', 'FHL1', 'ITGA7', 'SPEG', 'DMD', 'UTRN', 'BVES']"	Gene Ontology Biological Process	downregulated
