term_name	zscore	combined_score	FDR	pvalue	overlapping_genes	gene_set_library	geneset
ERBB2_human_kinase_ARCHS4_coexpression	-1.642373178	81.85825984	8.32E-20	2.26E-22	"['CDS1', 'WWC1', 'TACSTD2', 'AC234582.1', 'CBLC', 'KRT23', 'KLHDC7A', 'SPINT2', 'HID1', 'ALDH3B2', 'MUC1', 'TMEM125', 'MIEN1', 'RAB25', 'KIAA1522', 'MAL2', 'MYH14', 'EPS8L1', 'PRSS8', 'AP1M2', 'ST14', 'RARRES1', 'TMEM132A', 'KRT7', 'LSR', 'CDC6', 'NR2F6', 'CAMSAP3', 'KRT18', 'KLF5', 'SPINT1', 'SAPCD2', 'ADAM15', 'TMEM54', 'MMP15', 'PRR15L', 'FASN', 'GIPC1', 'SCNN1A', 'B3GNT3', 'SLC25A10', 'AGRN', 'CYB561', 'VGLL1', 'CRB3']"	ARCHS4 (coexpressed genes)	upregulated
TNK1_human_kinase_ARCHS4_coexpression	-1.713473343	65.4622222	4.71E-15	2.56E-17	"['CDS1', 'SOWAHB', 'PWWP2B', 'TACSTD2', 'CBLC', 'SPINT2', 'HID1', 'SLC9A3R1', 'ALDH3B2', 'MUC1', 'TMEM125', 'RAB25', 'KIAA1522', 'AP1S1', 'MAL2', 'MYH14', 'EPS8L1', 'PRSS8', 'S100A14', 'AP1M2', 'ST14', 'KRT8', 'KRT7', 'LSR', 'NR2F6', 'CAMSAP3', 'KRT18', 'KLF5', 'SPINT1', 'ADAM15', 'TMEM54', 'PRR15L', 'GIPC1', 'TMEM79', 'SCNN1A', 'B3GNT3', 'SLC25A10', 'CYB561', 'CRB3']"	ARCHS4 (coexpressed genes)	upregulated
CDC42BPG_human_kinase_ARCHS4_coexpression	-1.690124162	55.43269491	6.99E-13	5.70E-15	"['CDS1', 'SOWAHB', 'PWWP2B', 'WWC1', 'TACSTD2', 'CBLC', 'SPINT2', 'HID1', 'SLC9A3R1', 'ALDH3B2', 'MUC1', 'TMEM125', 'RAB25', 'KIAA1522', 'MAL2', 'MYH14', 'EPS8L1', 'PRSS8', 'S100A14', 'AP1M2', 'SPTBN2', 'ST14', 'KRT8', 'LSR', 'CAMSAP3', 'KRT18', 'KLF5', 'SPINT1', 'ADAM15', 'TMEM54', 'FASN', 'GIPC1', 'SCNN1A', 'B3GNT3', 'AGRN', 'CYB561']"	ARCHS4 (coexpressed genes)	upregulated
RIPK4_human_kinase_ARCHS4_coexpression	-1.585720969	49.25402775	2.98E-12	3.24E-14	"['CDS1', 'SOWAHB', 'WWC1', 'CBLC', 'SPINT2', 'TMEM125', 'RAB25', 'IRAK1', 'KIAA1522', 'AP1S1', 'MAL2', 'MYH14', 'EPS8L1', 'S100A14', 'PRSS8', 'S100A11', 'AP1M2', 'ST14', 'RARRES1', 'KRT7', 'LSR', 'NR2F6', 'KRT18', 'KLF5', 'SPINT1', 'ADAM15', 'TMEM54', 'GIPC1', 'SCNN1A', 'B3GNT3', 'SLC25A10', 'AGRN', 'CYB561', 'VGLL1', 'CRB3']"	ARCHS4 (coexpressed genes)	upregulated
TNNI3K_human_kinase_ARCHS4_coexpression	-1.716835305	50.40224001	3.72E-11	1.78E-13	"['SYNM', 'PDE1C', 'HSPB8', 'SLC8A1', 'ADCY5', 'JPH2', 'C14ORF180', 'TBX20', 'SPEG', 'DMD', 'PGM5', 'FLNC', 'BVES', 'TMOD1', 'SVIL', 'MYOCD', 'DTNA', 'CACNA2D1', 'TPM1', 'SORBS2', 'SORBS1', 'ALS2CR11', 'TMEFF2', 'DES', 'BMS1P7', 'NBEA', 'RCAN2', 'HAND2', 'CTD-2547E10.6', 'CASQ2', 'COL21A1', 'ITGA7', 'MYL9', 'CRYAB']"	ARCHS4 (coexpressed genes)	downregulated
PRKG1_human_kinase_ARCHS4_coexpression	-1.676453156	49.21671523	3.72E-11	1.78E-13	"['SYNM', 'HSPB6', 'PTPRQ', 'SYNPO2', 'HSPB8', 'FHL1', 'LMOD1', 'ATP1A2', 'FHL5', 'JPH2', 'PDLIM3', 'SPEG', 'DMD', 'PGM5', 'FLNC', 'AC096949.1', 'CAP2', 'RP11-123K3.4', 'SVIL', 'EGF', 'CACNA2D1', 'TPM2', 'EYA4', 'KLHL41', 'TRDN', 'SMOC2', 'ARHGAP10', 'DES', 'MYL1', 'TCEA3', 'CASQ2', 'PDE5A', 'ASB2', 'MYL9']"	ARCHS4 (coexpressed genes)	downregulated
MYLK_human_kinase_ARCHS4_coexpression	-1.614107195	44.69266835	1.32E-10	9.44E-13	"['KANK2', 'TAGLN', 'BNC2', 'SYNPO2', 'LPAR1', 'LMOD1', 'ACTG2', 'CYR61', 'PTGS1', 'CNN1', 'CSRP1', 'ADAMTS1', 'RAB23', 'FLNA', 'MYH11', 'PGM5', 'FLNC', 'PAMR1', 'PRKG1', 'TNS1', 'MYOCD', 'FOXF1', 'TPM2', 'ADAM33', 'DCN', 'ACTA2', 'MFAP4', 'SMTN', 'SDPR', 'ITGA8', 'MRVI1', 'PDE5A', 'FERMT2']"	ARCHS4 (coexpressed genes)	downregulated
ERBB3_human_kinase_ARCHS4_coexpression	-1.661159011	43.28181411	3.56E-10	4.83E-12	"['CDS1', 'SOWAHB', 'TACSTD2', 'CBLC', 'KRT20', 'HID1', 'ALDH3B2', 'MUC1', 'TMEM125', 'RAB25', 'KIAA1522', 'MAL2', 'MYH14', 'PRSS8', 'AP1M2', 'ST14', 'KRT8', 'LSR', 'SLC9A2', 'CAMSAP3', 'KRT18', 'KLF5', 'SPINT1', 'RNF128', 'TMEM54', 'TST', 'MMP15', 'PRR15L', 'SCNN1A', 'B3GNT3', 'DPEP1', 'CYB561']"	ARCHS4 (coexpressed genes)	upregulated
ALPK2_human_kinase_ARCHS4_coexpression	-1.635220388	39.99373314	2.00E-09	2.39E-11	"['TAGLN', 'SYNPO2', 'HSPB8', 'FHL1', 'SLC8A1', 'JPH2', 'PDLIM3', 'TBX20', 'SPEG', 'DMD', 'PGM5', 'FLNC', 'BVES', 'AC096949.1', 'PRKG1', 'CAP2', 'SVIL', 'MYOCD', 'TPM2', 'TPM1', 'ADAM33', 'SORBS2', 'KLHL41', 'TRDN', 'ARHGAP10', 'DES', 'MYL1', 'CASQ2', 'ASB2', 'MYL9', 'FERMT2']"	ARCHS4 (coexpressed genes)	downregulated
TTN_human_kinase_ARCHS4_coexpression	-1.617907491	39.57029946	2.00E-09	2.39E-11	"['SYNM', 'PTPRQ', 'SYNPO2', 'HSPB8', 'FHL1', 'FHL5', 'JPH2', 'PDLIM3', 'SPEG', 'DMD', 'PGM5', 'FLNC', 'BVES', 'AC096949.1', 'PRKG1', 'CAP2', 'SVIL', 'EGF', 'CACNA2D1', 'TPM2', 'SORBS1', 'ANO5', 'KLHL41', 'TRDN', 'SMOC2', 'ARHGAP10', 'DES', 'MYL1', 'TCEA3', 'CASQ2', 'ASB2']"	ARCHS4 (coexpressed genes)	downregulated
