term_name	zscore	combined_score	FDR	pvalue	overlapping_genes	gene_set_library	geneset
hsa-miR-6822-3p	-2.06851229	53.33917899	1.33E-08	6.33E-12	"['HIST2H2AA3', 'HIST1H2BO', 'HIST1H2AI', 'HIST1H2AH', 'UPK2', 'HIST1H2AJ', 'FAM71F2', 'HIST2H3A', 'ATP5J2-PTCD1', 'MMP15', 'HIST1H3F', 'HIST1H2BH', 'HIST1H2BB', 'HIST2H3D', 'HIST1H3B', 'HIST2H3C', 'HIST1H3C', 'HIST1H1B']"	miRTarBase (experimentally validated targets)	upregulated
hsa-miR-34a-5p	-5.125218221	83.28698779	9.22E-05	8.76E-08	"['HIST2H2AA3', 'FEN1', 'MAGEA12', 'HIST1H2BO', 'UHRF1', 'AKR1B1', 'TREM2', 'MKI67', 'HSD17B10', 'CDC20', 'CFL1', 'E2F1', 'HIST1H3F', 'MAGEA2', 'HIST1H3G', 'HIST1H3I', 'HIST1H3B', 'MAGEA6', 'HIST1H3C', 'MAGEA3', 'RAB11FIP4', 'HIST1H1B', 'HIST1H2AB', 'HIST1H2AL', 'YIPF2', 'HIST1H2AI', 'CDKN2A', 'HIST1H4L', 'HIST1H2AH', 'HIST1H2AJ', 'PYCR1', 'CDC25A', 'TRAIP', 'RPIA', 'HIST1H4A', 'HIST3H2A', 'HIST2H3A', 'BIRC5', 'KIF2C', 'HIST2H3D', 'HIST1H2BB', 'DCTPP1', 'HIST2H3C', 'MCM2']"	miRTarBase (experimentally validated targets)	upregulated
hsa-miR-146a-3p	-2.149353499	33.09804969	0.000144012	2.05E-07	"['HIST2H2AA3', 'ZNF185', 'HIST1H2BO', 'HIST1H2AI', 'HIST1H2AH', 'HIST1H2AJ', 'HIST2H3A', 'HIST1H3F', 'HIST1H2BH', 'HIST1H3B', 'HIST1H2BB', 'HIST2H3D', 'HIST1H3C', 'HIST2H3C', 'HIST1H1B']"	miRTarBase (experimentally validated targets)	upregulated
hsa-miR-8057	-2.249045152	32.34404212	0.000298884	5.68E-07	"['HIST2H2AA3', 'HIST1H2BO', 'HIST1H2AI', 'HIST1H2AH', 'HIST1H2AJ', 'FAM71F2', 'HIST2H3A', 'ATP5J2-PTCD1', 'MMP15', 'HIST1H3F', 'HIST1H2BH', 'HIST1H3B', 'HIST1H2BB', 'HIST2H3D', 'HIST1H3C', 'HIST2H3C', 'HIST1H1B']"	miRTarBase (experimentally validated targets)	upregulated
hsa-miR-4766-5p	-2.308773911	32.33178328	0.000348719	8.28E-07	"['HIST2H2AA3', 'SEMA7A', 'HIST1H2BO', 'HIST1H2AI', 'HIST1H2AH', 'HIST1H2AJ', 'HIST2H3A', 'HIST1H3F', 'HIST1H2BH', 'HIST1H3B', 'HIST1H2BB', 'HIST2H3D', 'HIST1H3C', 'HIST2H3C', 'HIST1H1B']"	miRTarBase (experimentally validated targets)	upregulated
hsa-miR-760	-2.468681866	28.94887731	0.002833791	8.08E-06	"['HIST2H2AA3', 'HIST1H2BO', 'HIST1H2AI', 'HIST1H2AH', 'HIST1H2AJ', 'FAM71F2', 'HIST2H3A', 'ATP5J2-PTCD1', 'MMP15', 'HIST1H3F', 'HIST1H2BH', 'HIST1H3B', 'HIST2H3D', 'HIST1H2BB', 'HIST1H3C', 'HIST2H3C', 'HIST1H1B']"	miRTarBase (experimentally validated targets)	upregulated
hsa-miR-1276	-2.299994019	26.01715945	0.003676929	1.22E-05	"['HIST2H2AA3', 'HIST1H2BO', 'HIST1H2AI', 'HIST1H2AH', 'HIST1H2AJ', 'BCL2L12', 'HIST2H3A', 'HIST1H3F', 'HIST1H2BH', 'HIST1H3B', 'HIST1H2BB', 'HIST2H3D', 'HIST1H3C', 'HIST2H3C', 'HIST1H1B']"	miRTarBase (experimentally validated targets)	upregulated
hsa-miR-223-5p	-2.862695886	20.23655657	0.999999924	0.000851036	"['NLGN4X', 'BNC2', 'EGF', 'ADH1B', 'SLC2A12', 'LIFR', 'SPATA6', 'COL19A1', 'RGS5', 'SMTN', 'SHH', 'KATNAL1', 'AKT3', 'TRAF5', 'DMD', 'BVES', 'PLEKHM3']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-297	-2.424183695	16.69223748	0.999999924	0.001022285	"['BNC2', 'ADH1B', 'TACR3', 'SPATA6', 'RGS5', 'SMTN', 'SHH', 'KATNAL1', 'AKT3', 'TRAF5', 'ZNF208', 'DMD', 'BVES']"	miRTarBase (experimentally validated targets)	downregulated
hsa-miR-567	-2.50394397	14.59961755	0.999999924	0.002936172	"['RGS5', 'SMTN', 'SHH', 'KATNAL1', 'BNC2', 'ADH1B', 'AKT3', 'TRAF5', 'TACR3', 'DMD', 'BVES', 'SPATA6']"	miRTarBase (experimentally validated targets)	downregulated
