term_name	zscore	combined_score	FDR	pvalue	overlapping_genes	gene_set_library	geneset
Systemic lupus erythematosus_Homo sapiens_hsa05322	-1.747154474	42.85877307	4.20E-09	2.22E-11	"['HIST2H2AA3', 'HIST1H2AL', 'HIST1H2BM', 'HIST1H2BO', 'HIST1H2AI', 'HIST1H4L', 'HIST1H2AH', 'HIST1H2AJ', 'HIST1H4A', 'HIST3H2A', 'HIST2H3A', 'HIST1H3F', 'HIST1H3G', 'HIST1H2BH', 'HIST1H3I', 'HIST1H3B', 'HIST2H3D', 'HIST1H2BB', 'HIST1H3C', 'HIST2H3C', 'HIST1H2AB']"	KEGG Pathways	upregulated
Alcoholism_Homo sapiens_hsa05034	-1.877908119	42.6862938	1.27E-08	1.34E-10	"['HIST2H2AA3', 'HIST1H2AL', 'HIST1H2BM', 'HIST1H2BO', 'CALML5', 'HIST1H2AI', 'HIST1H4L', 'HIST1H2AH', 'HIST1H2AJ', 'GRIN2D', 'HIST1H4A', 'HIST3H2A', 'HIST2H3A', 'HIST1H3F', 'HIST1H3G', 'HIST1H2BH', 'HIST1H3I', 'HIST1H3B', 'HIST2H3D', 'HIST1H2BB', 'HIST1H3C', 'HIST2H3C', 'HIST1H2AB']"	KEGG Pathways	upregulated
DNA methylation_Homo sapiens_R-HSA-5334118	-2.089048885	40.71506558	2.18E-06	3.43E-09	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'UHRF1', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
DNA Damage/Telomere Stress Induced Senescence_Homo sapiens_R-HSA-2559586	-2.015426191	35.71596307	6.39E-06	2.01E-08	"['HIST2H2AA3', 'CCNA2', 'HIST1H2BM', 'HIST1H4A', 'HIST1H2BO', 'CCNE1', 'HIST1H2AJ', 'HMGA1', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H1B', 'HIST1H2AB']"	Reactome Pathways	upregulated
RNA Polymerase I Promoter Opening_Homo sapiens_R-HSA-73728	-2.024052025	34.94075313	6.74E-06	3.18E-08	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Condensation of Prophase Chromosomes_Homo sapiens_R-HSA-2299718	-2.060420961	34.69040408	7.74E-06	4.87E-08	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'CDK1', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3_Homo sapiens_R-HSA-5625886	-2.040567854	32.75656326	1.36E-05	1.07E-07	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
SIRT1 negatively regulates rRNA Expression_Homo sapiens_R-HSA-427359	-2.156636222	34.02667895	1.49E-05	1.41E-07	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
HDACs deacetylate histones_Homo sapiens_R-HSA-3214815	-1.946529063	29.65263198	2.20E-05	2.42E-07	"['HIST2H2AA3', 'HIST1H2BM', 'HIST1H4A', 'HIST3H2A', 'HIST2H3A', 'HIST1H2BO', 'HIST1H2AH', 'HIST1H2AJ', 'HIST1H2BH', 'HIST1H2BB', 'HIST1H2AB']"	Reactome Pathways	upregulated
Striated Muscle Contraction_Homo sapiens_WP383	-1.900042737	28.5152345	6.80E-05	3.04E-07	"['TMOD1', 'ACTA2', 'DES', 'ACTC1', 'MYL1', 'TPM2', 'TPM1', 'DMD', 'MYL9']"	WikiPathways	downregulated
