term_name	zscore	combined_score	FDR	pvalue	overlapping_genes	gene_set_library	geneset
SP6_human_tf_ARCHS4_coexpression	-1.627326426	65.20613372	5.38E-15	3.96E-18	"['UPK2', 'CGB8', 'PWWP2B', 'WWC1', 'PALM3', 'IFI6', 'TACSTD2', 'CBLC', 'KRT23', 'CGB3', 'SPINT2', 'ALDH3B2', 'ESM1', 'RAB25', 'KIAA1522', 'AP1S1', 'MAL2', 'RAC3', 'MYH14', 'EPS8L1', 'PRSS8', 'RAB11FIP4', 'AP1M2', 'PLA2G2F', 'ST14', 'RARRES1', 'KRT8', 'KRT7', 'LSR', 'NR2F6', 'KRT18', 'KLF5', 'SPINT1', 'SAPCD2', 'ADAM15', 'TMEM54', 'GIPC1', 'AGRN', 'VGLL1', 'CRB3']"	ARCHS4 (coexpressed genes)	upregulated
TBX20_human_tf_ARCHS4_coexpression	-1.636767269	53.68269545	8.14E-12	5.70E-15	"['KANK2', 'SYNM', 'PKDCC', 'HSPB8', 'RHOBTB3', 'SLC8A1', 'ADCY5', 'RGS5', 'CNN1', 'JPH2', 'EDNRA', 'C14ORF180', 'SPEG', 'DMD', 'SLIT3', 'PGM5', 'FLNC', 'BVES', 'TNS1', 'SVIL', 'MYOCD', 'TPM1', 'SORBS2', 'LIFR', 'SORBS1', 'ARHGAP10', 'SFRP1', 'DES', 'ACTC1', 'HAND2', 'COL4A6', 'CASQ2', 'COL21A1', 'ITGA7', 'MYL9', 'MATN2']"	ARCHS4 (coexpressed genes)	downregulated
FOXI1_human_tf_ARCHS4_coexpression	-1.632926353	53.55672108	3.87E-12	5.70E-15	"['ECHS1', 'WWC1', 'TACSTD2', 'CBLC', 'KRT23', 'SPINT2', 'HID1', 'SLC9A3R1', 'ALDH3B2', 'MUC1', 'TMEM125', 'TGIF2-C20ORF24', 'RAB25', 'KIAA1522', 'AP1S1', 'EPS8L1', 'S100A14', 'PRSS8', 'AP1M2', 'ST14', 'DCXR', 'KRT8', 'LSR', 'PDZK1IP1', 'AP003419.11', 'CAMSAP3', 'KRT18', 'SPINT1', 'ADAM15', 'GIPC1', 'SCNN1A', 'SLC25A10', 'INO80B-WBP1', 'CYB561', 'VGLL1', 'CRB3']"	ARCHS4 (coexpressed genes)	upregulated
SPDEF_human_tf_ARCHS4_coexpression	-1.605841524	49.87899165	1.47E-11	3.24E-14	"['CDS1', 'WWC1', 'TACSTD2', 'AC234582.1', 'SPINT2', 'HID1', 'SLC9A3R1', 'ALDH3B2', 'MUC1', 'TMEM125', 'RAB25', 'KIAA1522', 'AP1S1', 'MAL2', 'MYH14', 'EPS8L1', 'PRSS8', 'AP1M2', 'SPTBN2', 'LRRC26', 'ST14', 'HAGHL', 'TMEM132A', 'KRT8', 'LSR', 'SLC9A2', 'CAMSAP3', 'KRT18', 'SPINT1', 'SAPCD2', 'ADAM15', 'TMEM54', 'FASN', 'SLC25A10', 'CYB561']"	ARCHS4 (coexpressed genes)	upregulated
HEYL_human_tf_ARCHS4_coexpression	-1.707829694	53.04684292	2.31E-11	3.24E-14	"['KANK2', 'TAGLN', 'AMY2A', 'BNC2', 'COL14A1', 'SYNPO2', 'HSPB8', 'PRUNE2', 'HSPB2', 'FHL5', 'RGS5', 'JPH2', 'PDLIM3', 'EDNRA', 'PGM5', 'FLNC', 'PRKG1', 'TNS1', 'TPM2', 'RP1-302G2.5', 'SORBS1', 'KLHL41', 'ACTA2', 'SMOC2', 'NR4A1', 'SMTN', 'DES', 'ACTC1', 'MYL1', 'OGN', 'CASQ2', 'ITGA7', 'MYL9', 'FERMT2', 'LIMS2']"	ARCHS4 (coexpressed genes)	downregulated
HOXC13_human_tf_ARCHS4_coexpression	-1.631115153	47.88569829	4.83E-11	1.78E-13	"['CDCA5', 'WWC1', 'TACSTD2', 'MRPL12', 'PKMYT1', 'LMNB2', 'HID1', 'CDC20', 'SLC9A3R1', 'ALDH3B2', 'RAB25', 'IRAK1', 'PSMD2', 'KIAA1522', 'E2F1', 'AP1S1', 'MAL2', 'MAGEA6', 'PAQR4', 'CDKN2A', 'TMEM132A', 'KRT8', 'KRT7', 'LSR', 'DKK1', 'KRT18', 'SPINT1', 'SAPCD2', 'ADAM15', 'FASN', 'GIPC1', 'SLC25A10', 'AL589743.1', 'CYB561']"	ARCHS4 (coexpressed genes)	upregulated
OVOL1_human_tf_ARCHS4_coexpression	-1.590945794	46.70642055	4.83E-11	1.78E-13	"['CDS1', 'CALML5', 'SOWAHB', 'CRCT1', 'TACSTD2', 'CBLC', 'KRT23', 'SPINT2', 'KRT20', 'ALDH3B2', 'RAB25', 'RNASE7', 'KIAA1522', 'MAL2', 'MYH14', 'EPS8L1', 'PRSS8', 'S100A14', 'AP1M2', 'PLA2G2F', 'ST14', 'KRT8', 'LSR', 'CAMSAP3', 'KRT18', 'KLF5', 'SPINT1', 'TMEM54', 'PRR15L', 'GIPC1', 'TMEM79', 'B3GNT3', 'VGLL1', 'CRB3']"	ARCHS4 (coexpressed genes)	upregulated
OVOL2_human_tf_ARCHS4_coexpression	-1.725606662	47.7799532	1.83E-10	9.44E-13	"['CDS1', 'WWC1', 'TACSTD2', 'CBLC', 'SPINT2', 'TMEM125', 'RAB25', 'RP11-402P6.15', 'KIAA1522', 'MAL2', 'MYH14', 'PRSS8', 'S100A14', 'AP1M2', 'ST14', 'RP11-184J23.2', 'UBE2C', 'LSR', 'CDC6', 'NR2F6', 'TEX19', 'KRT18', 'KLF5', 'SPINT1', 'TMEM54', 'CCNE1', 'PRR15L', 'SCNN1A', 'B3GNT3', 'DPPA5', 'CYB561', 'VGLL1', 'CRB3']"	ARCHS4 (coexpressed genes)	upregulated
EHF_human_tf_ARCHS4_coexpression	-1.52644565	42.26542661	1.83E-10	9.44E-13	"['CDS1', 'SOWAHB', 'WWC1', 'TACSTD2', 'CBLC', 'KRT23', 'SPINT2', 'KRT20', 'HID1', 'ALDH3B2', 'MUC1', 'TMEM125', 'RAB25', 'RNASE7', 'KIAA1522', 'MAL2', 'MYH14', 'EPS8L1', 'PRSS8', 'S100A14', 'AP1M2', 'ST14', 'LSR', 'SLC9A2', 'KLF5', 'SPINT1', 'TMEM54', 'PRR15L', 'SCNN1A', 'B3GNT3', 'LCN2', 'CYB561', 'CRB3']"	ARCHS4 (coexpressed genes)	upregulated
HIST1H1D_human_tf_ARCHS4_coexpression	-1.732288108	45.13509628	6.57E-10	4.83E-12	"['HIST2H2AA3', 'HIST1H2BM', 'FEN1', 'SEMA7A', 'HIST1H2BO', 'MKI67', 'RP11-673C5.1', 'PDF', 'HIST1H3F', 'HIST1H3G', 'HIST1H3I', 'HIST3H2BA', 'HIST1H3B', 'HIST1H3C', 'HIST1H2AB', 'RANBP1', 'HIST1H2AL', 'F8A2', 'HIST1H2AI', 'HIST1H4L', 'HIST1H2AH', 'HIST1H2AJ', 'CDC25A', 'CCNA2', 'HIST1H4A', 'HIST3H2A', 'HIST2H3A', 'HIST1H2BH', 'HIST2H3D', 'HIST1H2BB', 'HIST2H3C', 'MCM2']"	ARCHS4 (coexpressed genes)	upregulated
